회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,회원가입 사진 장 수,로그인 사진 장 수,분류율,,,로그인 1,로그인 2,로그인 4,로그인 10
40,2,2,100,92.4152122,,,,,,,,,,,
40,2,3,100,85.76659708,,,,,,,,,,,
40,2,4,100,85.64596919,,,,,,,,,,,
40,2,5,100,93.01729223,,,,,,,,,,,
40,2,6,100,94.68734036,,,,,,,,,,,
40,2,7,100,92.41928845,,,,,,,,,,,
40,2,8,100,80.1591396,,,,,,,,,,,
40,2,9,100,84.66286101,,,,,,,,,,,
,,,100,88.3311047,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
40,4,0,100,86.47708881,,,,,,,,,,,
40,4,1,100,89.60633083,,,,,,,,,,,
40,4,2,100,93.14026689,,,,,,,,,,,
40,4,3,100,89.11275943,,,,,,,,,,,
40,4,4,100,93.33897239,,,,,,,,,,,
40,4,5,100,85.69728874,,,,,,,,,,,
40,4,6,100,89.86631632,,,,,,,,,,,
40,4,7,100,85.40767354,,,,,,,,,,,
40,4,8,100,87.24356956,,,,,,,,,,,
40,4,9,100,87.28343681,,,,,,,,,,,
,,,100,88.71737033,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
40,10,0,100,86.69613253,,,,,,,,,,,
40,10,1,100,90.2303247,,,,,,,,,,,
40,10,2,100,92.20733994,,,,,,,,,,,
40,10,3,100,87.61620795,,,,,,,,,,,
40,10,4,100,89.99286281,,,,,,,,,,,
40,10,5,100,88.34915478,,,,,,,,,,,
40,10,6,100,91.9386536,,,,,,,,,,,
40,10,7,100,91.41434281,,,,,,,,,,,
40,10,8,100,89.73331496,,,,,,,,,,,
40,10,9,100,89.70551171,,,,,,,,,,,
,,,100,89.78838458,,,,,,,,,,,
