¾ó±¼,ÀÎ½Ä Àå ¼ö, ÇÐ½À Àå ¼ö,È®·ü1,È®·ü2,È®·ü3,È®·ü4
¾ó±¼ 2,10,20,84.84397786,5.766114622,5.21520985,4.174697673
¾ó±¼ 2,10,20,86.89894734,4.44953615,5.272544537,3.37897197
¾ó±¼ 2,10,20,85.50752675,5.144000954,5.81446198,3.534010317
¾ó±¼ 2,10,20,86.31939236,5.358842759,4.512349784,3.809415094
¾ó±¼ 2,10,20,84.36995988,5.787648132,5.923320059,3.919071927
¾ó±¼ 2,10,30,91.75585941,3.26308179,2.913970341,2.067088457
¾ó±¼ 2,10,30,89.46315069,4.406669067,3.27337753,2.856802716
¾ó±¼ 2,10,30,88.23510305,4.748018224,3.850940759,3.165937965
¾ó±¼ 2,10,30,89.74770159,3.948821717,3.697793898,2.605682799
¾ó±¼ 2,10,30,88.5232701,4.249178064,3.81127642,3.416275412
¾ó±¼ 2,10,30,88.94676847,4.219359441,4.220309844,2.613562242
¾ó±¼ 2,10,30,88.24734133,4.650199523,3.915619266,3.186839882
¾ó±¼ 2,10,30,88.37384637,4.423776421,4.316144303,2.88623291
¾ó±¼ 2,10,30,89.57551974,4.051240167,3.654616796,2.718623297
¾ó±¼ 2,10,30,90.71040955,3.269194245,3.911192078,2.109204131
¾ó±¼ 2,10,40,93.28357635,2.59952883,2.479020623,1.637874192
¾ó±¼ 2,10,40,91.18747267,3.613202232,2.931807766,2.267517332
¾ó±¼ 2,10,40,92.24363018,3.300402268,2.413235488,2.042732069
¾ó±¼ 2,10,40,89.95921245,3.9636957,4.151139073,1.925952774
¾ó±¼ 2,10,40,91.20395864,3.36066626,3.357876359,2.077498739
¾ó±¼ 2,10,40,92.3445898,2.971311285,2.831545808,1.852553109
¾ó±¼ 2,10,40,91.57693341,3.184899973,3.34144124,1.896725379
¾ó±¼ 2,10,40,92.75485557,2.583440554,2.912206885,1.749496991
¾ó±¼ 2,10,40,91.23384648,3.334941884,3.229820264,2.201391375
¾ó±¼ 2,10,40,91.20468749,3.656120127,3.278661399,1.860530989
¾ó±¼ 3,1,10,13.1820844,63.97043074,14.58366448,8.263820383
¾ó±¼ 3,1,20,7.768732423,75.33395541,9.959584375,6.937727792
¾ó±¼ 3,1,30,7.40608096,77.09302754,10.2658603,5.235031204
¾ó±¼ 3,1,40,7.094321767,80.25482658,9.121816832,3.529034822
¾ó±¼ 3,2,10,13.1820844,63.97043074,14.58366448,8.263820383
¾ó±¼ 3,2,10,13.23456057,63.29656462,14.71299399,8.755880821
¾ó±¼ 3,2,20,9.329983087,71.13569328,12.2130697,7.321253931
¾ó±¼ 3,2,20,9.680394252,70.41838,12.98023641,6.920989341
¾ó±¼ 3,2,30,6.33861343,82.21101438,7.359635204,4.090736991
¾ó±¼ 3,2,30,7.152517573,80.31717983,7.046934192,5.48336841
¾ó±¼ 3,2,40,7.5611818,78.58259026,9.890156372,3.966071572
¾ó±¼ 3,2,40,5.491162265,83.69614499,7.999468181,2.813224562
¾ó±¼ 3,4,10,12.62313914,62.64391193,15.81285506,8.920093866
¾ó±¼ 3,4,10,10.28161587,67.11108131,13.38726258,9.220040242
¾ó±¼ 3,4,10,12.45588336,65.23042524,13.7995348,8.514156597
¾ó±¼ 3,4,10,12.18846618,63.98673285,15.58404448,8.240756502
¾ó±¼ 3,4,20,10.16768145,73.0627612,10.38712962,6.382427728
¾ó±¼ 3,4,20,9.680394252,70.41838,12.98023641,6.920989341
¾ó±¼ 3,4,20,9.329983087,71.13569328,12.2130697,7.321253931
¾ó±¼ 3,4,20,7.768732423,75.33395541,9.959584375,6.937727792
¾ó±¼ 3,4,30,7.782842944,77.78153844,8.874272663,5.56134595
¾ó±¼ 3,4,30,9.116147159,75.30357538,9.844413934,5.735863526
¾ó±¼ 3,4,30,6.426848876,79.70891473,8.359853791,5.504382603
¾ó±¼ 3,4,30,6.948685859,77.96228461,9.570755632,5.518273894
¾ó±¼ 3,4,40,5.955748386,79.48096987,10.17682292,4.386458823
¾ó±¼ 3,4,40,5.457787027,80.52015695,9.87222653,4.149829497
¾ó±¼ 3,4,40,4.639646741,83.32430416,7.937451344,4.098597757
¾ó±¼ 3,4,40,6.322410106,81.30902302,8.884685583,3.483881292
¾ó±¼ 3,10,10,12.60864576,62.91365171,15.05703808,9.420664453
¾ó±¼ 3,10,10,10.98902381,64.03009563,15.60091715,9.37996341
¾ó±¼ 3,10,10,14.35654246,60.34278973,15.53605634,9.764611473
¾ó±¼ 3,10,10,10.28161587,67.11108131,13.38726258,9.220040242
¾ó±¼ 3,10,10,12.45588336,65.23042524,13.7995348,8.514156597
¾ó±¼ 3,10,10,11.10214027,64.65913487,14.60207404,9.636650818
¾ó±¼ 3,10,10,11.12662649,67.63357657,13.4100514,7.829745537
¾ó±¼ 3,10,10,11.71690884,62.97777451,15.78661946,9.518697196
¾ó±¼ 3,10,10,12.62313914,62.64391193,15.81285506,8.920093866
¾ó±¼ 3,10,10,10.71266697,63.85163483,16.39846749,9.037230713
¾ó±¼ 3,10,20,11.31054516,70.82283292,11.20653933,6.660082592
¾ó±¼ 3,10,20,10.33635029,70.96019956,11.40170054,7.301749603
¾ó±¼ 3,10,20,10.16768145,73.0627612,10.38712962,6.382427728
¾ó±¼ 3,10,20,8.448091487,72.2642004,12.51751022,6.770197893
¾ó±¼ 3,10,20,8.771735977,73.00327688,10.94140634,7.283580803
¾ó±¼ 3,10,20,11.77381473,68.0609165,12.61594242,7.549326346
¾ó±¼ 3,10,20,10.03843393,72.07303282,11.79372446,6.094808795
¾ó±¼ 3,10,20,7.688287394,77.65641204,8.210280948,6.445019616
¾ó±¼ 3,10,20,9.329983087,71.13569328,12.2130697,7.321253931
¾ó±¼ 3,10,20,8.577000811,72.59434951,11.72154859,7.107101087
¾ó±¼ 3,10,30,8.457521359,77.69777834,8.77795599,5.066744306
¾ó±¼ 3,10,30,5.500683476,81.63411131,7.623528935,5.241676282
¾ó±¼ 3,10,30,9.823766906,74.88296033,9.333404839,5.959867925
¾ó±¼ 3,10,30,6.948685859,77.96228461,9.570755632,5.518273894
¾ó±¼ 3,10,30,6.33861343,82.21101438,7.359635204,4.090736991
¾ó±¼ 3,10,30,8.048614207,77.44363987,9.452599079,5.055146841
¾ó±¼ 3,10,30,7.550974361,78.86527684,9.114334513,4.469414284
¾ó±¼ 3,10,30,6.426848876,79.70891473,8.359853791,5.504382603
¾ó±¼ 3,10,30,7.782842944,77.78153844,8.874272663,5.56134595
¾ó±¼ 3,10,30,6.364570183,82.43019383,7.444698232,3.76053775
¾ó±¼ 3,10,40,6.595982728,79.49952124,10.45582339,3.448672639
¾ó±¼ 3,10,40,6.588793649,80.89411248,8.80309298,3.714000886
¾ó±¼ 3,10,40,5.457787027,80.52015695,9.87222653,4.149829497
¾ó±¼ 3,10,40,5.571153735,80.73484172,9.387674753,4.306329796
¾ó±¼ 3,10,40,6.437028787,77.93382899,11.50454953,4.124592693
¾ó±¼ 3,10,40,5.955748386,79.48096987,10.17682292,4.386458823
¾ó±¼ 3,10,40,5.45503148,83.44801,7.984824982,3.112133543
¾ó±¼ 3,10,40,7.5611818,78.58259026,9.890156372,3.966071572
¾ó±¼ 3,10,40,6.227832454,81.81122051,7.691579442,4.269367594
¾ó±¼ 3,10,40,6.797345426,79.06877373,9.799799963,4.334080883
¾ó±¼ 4,1,10,8.32597942,7.920673085,78.43037786,5.322969635
¾ó±¼ 4,1,20,5.040694991,3.924527626,88.09545558,2.939321807
¾ó±¼ 4,1,30,3.157685856,3.348259201,91.18711131,2.306943629
¾ó±¼ 4,1,40,2.328770367,1.456776766,95.06761225,1.146840619
¾ó±¼ 4,2,10,7.885926746,7.773031946,78.59386625,5.747175059
¾ó±¼ 4,2,10,9.252359056,7.311735373,78.12713255,5.308773019
¾ó±¼ 4,2,20,4.338609661,4.525102592,87.94798905,3.188298703
¾ó±¼ 4,2,20,6.869787478,4.213015993,86.04247067,2.874725864
¾ó±¼ 4,2,30,3.726957062,2.833485296,91.33007843,2.109479215
¾ó±¼ 4,2,30,3.157685856,3.348259201,91.18711131,2.306943629
¾ó±¼ 4,2,40,2.680593191,1.783510499,94.39967037,1.136225945
¾ó±¼ 4,2,40,1.894813451,1.704638949,95.04285595,1.357691655
¾ó±¼ 4,4,10,9.320861276,7.159412879,78.28429847,5.235427373
¾ó±¼ 4,4,10,8.019448721,7.740055207,79.16248136,5.078014713
¾ó±¼ 4,4,10,9.014178602,6.775871309,79.13040475,5.079545338
¾ó±¼ 4,4,10,8.703102587,7.162284339,78.93515983,5.199453243
¾ó±¼ 4,4,20,5.492411771,4.128723056,87.48805539,2.890809779
¾ó±¼ 4,4,20,6.269463977,4.388770678,86.44219023,2.899575119
¾ó±¼ 4,4,20,5.744817871,4.404996644,86.98253828,2.867647202
¾ó±¼ 4,4,20,5.566633955,4.368670614,87.44812034,2.61657509
¾ó±¼ 4,4,30,3.103232451,3.299964836,91.55671816,2.040084559
¾ó±¼ 4,4,30,4.164879193,3.216406216,90.7631557,1.855558894
¾ó±¼ 4,4,30,3.157685856,3.348259201,91.18711131,2.306943629
¾ó±¼ 4,4,30,3.282576776,3.244390795,91.16631211,2.306720316
¾ó±¼ 4,4,40,2.642222248,1.637329279,94.47943825,1.241010225
